ProjectID,ClientID,ProjectName,ProjectType,ManagerID,StartDate,EndDate,ContractModel,ContractValue,PlannedHours,TargetMarginPct
P001,CL012,Migration for CL012,Migration,C013,2024-10-03,2025-01-24,Fixed Fee,900395,2240,0.37
P002,CL014,Implementation for CL014,Implementation,C015,2025-04-01,2025-07-24,Fixed Fee,202439,1373,0.34
P003,CL001,Implementation for CL001,Implementation,C015,2024-05-11,2024-12-14,T&M,0,3295,0.26
P004,CL006,Implementation for CL006,Implementation,C019,2025-07-20,2026-03-03,Fixed Fee,342149,4540,0.39
P005,CL009,Strategy for CL009,Strategy,C022,2025-05-10,2025-10-17,T&M,0,569,0.3
P006,CL009,Migration for CL009,Migration,C019,2024-07-09,2024-09-19,T&M,0,2354,0.41
P007,CL014,Strategy for CL014,Strategy,C019,2025-05-12,2025-10-12,Fixed Fee,779265,3295,0.32
P008,CL014,Migration for CL014,Migration,C015,2024-11-28,2025-05-12,T&M,0,582,0.41
P009,CL006,Implementation for CL006,Implementation,C010,2025-08-22,2026-03-19,Fixed Fee,820284,633,0.35
P010,CL013,Implementation for CL013,Implementation,C015,2024-08-13,2025-01-05,Fixed Fee,177100,2248,0.26
P011,CL009,Support for CL009,Support,C010,2024-07-02,2024-12-30,T&M,0,4349,0.33
P012,CL011,Implementation for CL011,Implementation,C015,2024-03-26,2024-07-05,T&M,0,4283,0.37
P013,CL013,Implementation for CL013,Implementation,C022,2025-07-29,2026-03-02,Fixed Fee,436285,688,0.37
P014,CL004,Analytics for CL004,Analytics,C019,2024-06-10,2024-09-23,T&M,0,4971,0.33
P015,CL013,Implementation for CL013,Implementation,C006,2024-02-12,2024-07-17,Fixed Fee,668327,2678,0.36
P016,CL009,Analytics for CL009,Analytics,C010,2024-09-26,2025-02-18,T&M,0,5807,0.36
P017,CL012,Strategy for CL012,Strategy,C003,2025-07-14,2026-02-12,T&M,0,1585,0.34
P018,CL013,Migration for CL013,Migration,C013,2024-09-12,2025-02-01,Fixed Fee,418090,2446,0.33
P019,CL005,Implementation for CL005,Implementation,C019,2025-06-23,2026-01-25,T&M,0,3060,0.34
P020,CL010,Migration for CL010,Migration,C013,2024-10-25,2025-03-26,T&M,0,2591,0.42
P021,CL013,Migration for CL013,Migration,C010,2024-08-19,2025-04-12,T&M,0,2969,0.32
P022,CL002,Implementation for CL002,Implementation,C003,2024-06-25,2024-12-29,T&M,0,5413,0.25
P023,CL004,Analytics for CL004,Analytics,C006,2024-01-12,2024-06-26,T&M,0,1972,0.3
P024,CL006,Implementation for CL006,Implementation,C013,2024-12-29,2025-05-31,Fixed Fee,576350,2884,0.27
P025,CL010,Support for CL010,Support,C022,2024-04-02,2024-07-29,T&M,0,959,0.42
P026,CL001,Analytics for CL001,Analytics,C019,2025-04-06,2025-09-18,T&M,0,1491,0.39
P027,CL006,Strategy for CL006,Strategy,C022,2025-05-05,2025-12-11,T&M,0,4726,0.33
P028,CL011,Strategy for CL011,Strategy,C013,2025-07-27,2025-12-28,T&M,0,2875,0.35
P029,CL013,Implementation for CL013,Implementation,C013,2025-01-04,2025-07-05,T&M,0,4337,0.33
P030,CL015,Implementation for CL015,Implementation,C013,2025-02-10,2025-05-15,Fixed Fee,178716,5831,0.42
P031,CL013,Migration for CL013,Migration,C003,2025-03-09,2025-05-26,Fixed Fee,586146,418,0.25
P032,CL013,Analytics for CL013,Analytics,C013,2024-09-04,2024-11-08,T&M,0,3951,0.26
P033,CL007,Strategy for CL007,Strategy,C019,2024-09-03,2025-04-25,T&M,0,2550,0.31
P034,CL003,Implementation for CL003,Implementation,C006,2024-03-29,2024-08-27,T&M,0,3488,0.44
P035,CL001,Implementation for CL001,Implementation,C015,2024-04-14,2024-09-14,T&M,0,5191,0.26
P036,CL015,Analytics for CL015,Analytics,C022,2024-07-09,2025-01-15,Fixed Fee,192225,5310,0.29
P037,CL011,Implementation for CL011,Implementation,C015,2025-06-11,2026-01-05,T&M,0,2341,0.37
P038,CL014,Support for CL014,Support,C013,2024-07-31,2024-11-01,T&M,0,3611,0.27
P039,CL011,Migration for CL011,Migration,C006,2025-02-09,2025-08-14,Fixed Fee,887110,834,0.31
P040,CL009,Support for CL009,Support,C006,2025-06-29,2025-09-05,T&M,0,2394,0.36
